Date,North Tower (kWh),temp_C,Holiday,Hour,Day_of_Week,Sin_hour,Workday,Gaussian,Power-1,Prediction
2019-03-03 12:00:00,49.63,15.906666666666666,0,12,6,10.893582466233818,0,90.0,49.579,51.03465806306056
2019-03-03 13:00:00,48.212,14.818333333333332,0,13,6,10.933048616783237,0,88.76932937905377,49.63,51.190985417813664
2019-03-03 14:00:00,50.141,14.159166666666666,0,14,6,10.295593919237854,0,85.29987610338382,48.212,48.44003162393243
2019-03-03 15:00:00,51.955,14.69,0,15,6,9.024659857791692,0,80.1935840795603,50.141,50.53888245243369
2019-03-03 16:00:00,52.68,14.8775,0,16,6,7.206858488414452,0,74.26122638850534,51.955,52.0295414838264
2019-03-03 17:00:00,52.62,13.930833333333334,0,17,6,4.96606997037041,0,68.31333447086458,52.68,52.51218030033287
2019-03-03 18:00:00,54.974,13.406666666666666,0,18,6,2.455000338086137,0,62.98609869433399,52.62,53.02105690484086
2019-03-03 19:00:00,51.262,13.405,0,19,6,-0.1552251627369503,0,58.65060667319549,54.974,52.164403511252296
2019-03-03 20:00:00,49.398,13.578333333333331,0,20,6,-2.6867239778193617,0,55.41341132946451,51.262,47.54120983399629
2019-03-03 21:00:00,47.872,13.715833333333334,0,21,6,-4.966978646412833,0,53.182380348729104,49.398,46.76552269973265
2019-03-03 22:00:00,49.702,13.743333333333334,0,22,6,-6.840593581151714,0,51.7574773449363,47.872,46.042195458444894
2019-03-03 23:00:00,50.221,13.730833333333337,0,23,6,-8.179885020528637,0,50.91176723534449,49.702,47.8859155717191
2019-03-04 00:00:00,50.135,13.7975,0,0,0,-8.893582466233818,1,52.22179930764846,50.221,46.79907759976791
2019-03-04 01:00:00,49.598,13.630833333333332,0,1,0,-8.933048616783237,1,54.558836176722465,50.135,47.945410202708665
2019-03-04 02:00:00,47.866,13.425,0,2,0,-8.29559391923785,1,58.78738672468148,49.598,48.202266149544336
2019-03-04 03:00:00,46.981,12.9875,0,3,0,-7.024659857791685,1,65.91190174364553,47.866,47.52668891435036
2019-03-04 04:00:00,48.451,12.419166666666667,0,4,0,-5.2068584884144515,1,77.06705664732254,46.981,46.300007073961076
2019-03-04 05:00:00,60.647,12.303333333333333,0,5,0,-2.9660699703704005,1,93.25303336597746,48.451,50.507752958248275
2019-03-04 06:00:00,55.879,12.2675,0,6,0,-0.45500033808613605,1,114.93049347166995,60.647,58.295852568510206
2019-03-04 07:00:00,100.926,12.2275,0,7,0,2.1552251627369516,1,141.56667235432286,55.879,100.44312521743718
